date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:55	890/890	---M-Z	200	added ('OK')	text/xml	date:Tue,%2008%20Aug%202023%2022:24:54%20GMT	https://grupoplaytvstreaming.com.br/xmlrpc.php?rsd	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/xmlrpc0db0.php	(from https://grupoplaytvstreaming.com.br/)
19:25:55	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://grupoplaytvstreaming.com.br/wp-includes/wlwmanifest.xml	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-includes/wlwmanifest.xml	(from https://grupoplaytvstreaming.com.br/)
19:25:56	2425/2425	---M-Z	200	added ('OK')	application/json	date:Tue,%2008%20Aug%202023%2022:24:55%20GMT	https://grupoplaytvstreaming.com.br/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fgrupoplaytvstreaming.com.br%2F	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/index65cc.json	(from https://grupoplaytvstreaming.com.br/)
19:25:56	2499/2499	---M-Z	200	added ('OK')	text/xml	date:Tue,%2008%20Aug%202023%2022:24:55%20GMT	https://grupoplaytvstreaming.com.br/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fgrupoplaytvstreaming.com.br%2F&format=xml	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/index8de6.php	(from https://grupoplaytvstreaming.com.br/)
19:25:57	99/99	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2017:33:41%20GMT	https://grupoplaytvstreaming.com.br/wp-content/themes/blocksy/static/bundle/no-scripts.min.css	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/themes/blocksy/static/bundle/no-scripts.min.css	(from https://grupoplaytvstreaming.com.br/)
19:25:58	91687/91687	---M-Z	200	added ('OK')	application/javascript	etag:W/%2216627-rYQsBEefTmMRiyX52EbCMDkMEQc%22	https://cdn.jsdelivr.net/npm/notiflix@2.6.0/dist/notiflix-aio-2.6.0.min.js	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/cdn.jsdelivr.net/npm/notiflix@2.6.0/dist/notiflix-aio-2.6.0.min.js	(from https://grupoplaytvstreaming.com.br/)
19:25:58	131242/131242	---M--	200	added ('OK')	image/webp	date:Tue,%2015%20Nov%202022%2015:58:42%20GMT	https://grupoplaytvstreaming.com.br/wp-content/uploads/2022/11/IPTV-MODELO02-B02-1024x1024.webp	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/uploads/2022/11/IPTV-MODELO02-B02-1024x1024.webp	(from https://grupoplaytvstreaming.com.br/)
19:25:58	10101/10101	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2011:07:49%20GMT	https://grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	(from https://grupoplaytvstreaming.com.br/)
19:26:00	181264/181264	---M--	200	added ('OK')	image/webp	date:Tue,%2015%20Nov%202022%2015:58:48%20GMT	https://grupoplaytvstreaming.com.br/wp-content/uploads/2022/11/IPTV-MODELO-B02-1-1024x1024.webp	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/uploads/2022/11/IPTV-MODELO-B02-1-1024x1024.webp	(from https://grupoplaytvstreaming.com.br/)
19:26:00	9921/9921	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2011:07:49%20GMT	https://grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://grupoplaytvstreaming.com.br/)
